strategy_id,strategy_name,category,source,entry_logic_summary,primary_exit_logic,stop_loss_atr_multiple,take_profit_atr_multiple,max_bars_held,auto_close_time,key_parameters,warmup_period,complexity_rating,implementation_notes
11,WaveTrend Strategy,Momentum,TradingView Built-in,"Enter when WT crosses above oversold level (-60). Exit when crosses below overbought (53)","Exit when WT crosses below 53",1.0,1.0,20,4pm EST,"wt_channel_length: 10, wt_average_length: 21, wt_oversold: -60, wt_overbought: 53",40,Medium,Oscillator based on momentum and EMA. Good for finding extremes. Can lag in fast markets.
12,Know Sure Thing,Momentum,TradingView Built-in,"Enter when KST crosses above signal line. Exit when crosses below","Exit when KST crosses below signal",1.0,1.0,20,4pm EST,"kst_roc1: 10, kst_roc2: 15, kst_roc3: 20, kst_roc4: 30, kst_sma1: 10, kst_sma2: 10, kst_sma3: 10, kst_sma4: 15, kst_signal: 9",50,High,Complex momentum indicator using 4 ROC periods. Smoothed and summed. Very comprehensive.
13,Volume Indicator Strategy,Volume,TradingView Built-in,"Enter when volume > 1.5x average and price up. Exit when volume < average","Exit when volume < average",1.0,1.0,20,4pm EST,"vol_length: 20, vol_threshold: 1.5",30,Low,Volume confirmation strategy. Simple volume spike detection. Needs volume data.
14,Price Volume Trend,Volume,TradingView Built-in,"Enter when PVT crosses above SMA(PVT, 10). Exit when crosses below","Exit when PVT crosses below SMA",1.0,1.0,20,4pm EST,"pvt_length: 21, pvt_signal: 10",40,Medium,Cumulative volume indicator weighted by price change. Like OBV but with price % change.
15,Price Channel Strategy,Breakout,TradingView Built-in,"Enter when price breaks above upper channel (highest high N bars). Exit when breaks below lower","Exit when price breaks below lower channel",1.0,1.0,20,4pm EST,"channel_length: 20, channel_breakout_pct: 0.5",30,Low,Donchian Channel breakout. Classic breakout strategy. May whipsaw in range-bound markets.
16,Envelope Indicator Strategy,Mean Reversion,TradingView Built-in,"Enter when price touches lower envelope (SMA ± X%). Exit at middle band","Exit at SMA middle band",1.0,1.0,20,4pm EST,"env_length: 20, env_percentage: 2.5",30,Low,Like Bollinger Bands but uses fixed % instead of standard deviation. Simpler calculation.
17,MA Cross,Trend Following,TradingView Built-in,"Enter when fast MA(10) crosses above slow MA(50). Exit on opposite cross","Exit when fast MA crosses below slow MA",1.0,1.0,20,4pm EST,"ma_fast: 10, ma_slow: 50, ma_type: SMA",60,Low,Classic dual moving average crossover. Many parameters to optimize. Well-studied approach.
18,Triple MA Strategy,Trend Following,TradingView Built-in,"Enter when fast(5) > medium(10) > slow(20), confirming trend. Exit when order breaks","Exit when MA order breaks",1.0,1.0,20,4pm EST,"ma_fast: 5, ma_medium: 10, ma_slow: 20",30,Low,Three moving averages for stronger trend confirmation. More conservative entries.
19,MACD Strategy,Momentum,TradingView Built-in,"Enter when MACD crosses above signal line. Exit when crosses below","Exit when MACD crosses below signal",1.0,1.0,20,4pm EST,"macd_fast: 12, macd_slow: 26, macd_signal: 9",40,Low,Most popular momentum indicator. Many false signals in ranging markets.
20,Parabolic SAR Strategy,Trend Following,TradingView Built-in,"Enter on SAR flip to bullish. Exit on flip to bearish","Exit on SAR flip to bearish",1.0,1.0,20,4pm EST,"sar_start: 0.02, sar_increment: 0.02, sar_max: 0.2",30,Low,Duplicate of #3. Can remove or modify to test different parameters.
21,RSI(2) Mean Reversion,Mean Reversion,Botnet101,"Enter when RSI(2) < 10. Exit when RSI(2) > 65","Exit when RSI(2) > 65",1.0,1.0,20,4pm EST,"rsi_length: 2, rsi_oversold: 10, rsi_overbought: 65",10,Low,Very short-term RSI. Larry Connors style. Gives frequent signals. Works well on liquid instruments.
22,Support Resistance Breakout,Breakout,Botnet101,"Enter when price breaks above recent swing high with volume confirmation. Exit at next resistance","Exit at resistance or fixed target",1.0,1.0,20,4pm EST,"swing_lookback: 20, volume_threshold: 1.3",30,Medium,Identifies swing highs/lows. Breakout with volume. Requires swing detection logic.
23,Gap Fill Strategy,Mean Reversion,Botnet101,"Enter when gap > 1% at open, expecting reversion. Exit when gap 50% filled","Exit when gap 50% filled",1.0,1.0,20,4pm EST,"gap_threshold: 1.0, gap_fill_target: 0.5",5,Low,Needs intraday or daily open/close data. Simple gap detection and mean reversion trade.
24,VWAP Reversion,Mean Reversion,Botnet101,"Enter when price deviates >2 std devs from VWAP. Exit at VWAP","Exit when price returns to VWAP",1.0,1.0,20,4pm EST,"vwap_std_threshold: 2.0",20,Low,Requires intraday data and volume. VWAP as anchor. Standard deviation bands for entry.
25,Opening Range Breakout,Breakout,Botnet101,"Enter when price breaks above/below first 30-min range. Exit at close or stop","Standardized exits",1.0,1.0,20,4pm EST,"or_duration_minutes: 30, or_breakout_pct: 0",30,Low,Classic intraday strategy. Needs 15-min or better data. Simple logic for implementation.
26,Pivot Point Reversal,Mean Reversion,Botnet101,"Enter at pivot support/resistance levels. Exit at opposite level or middle","Exit at opposite pivot or midpoint",1.0,1.0,20,4pm EST,"pivot_type: standard, pivot_lookback: 1",10,Low,Daily pivots from prior day high/low/close. Standard formulas. Requires daily OHLC.
27,3-Bar Pattern Breakout,Breakout,Botnet101,"Enter after 3 consecutive bars down, then breakout above. Exit after X bars","Standardized exits",1.0,1.0,20,4pm EST,pattern_bars: 3,10,Low,Pattern recognition. 3 down bars = setup, breakout bar = entry. Simple state machine.
28,Volume Price Confirmation,Momentum,Botnet101,"Enter when price makes new high AND volume > average. Exit when volume dries up","Exit when volume < 0.8x average",1.0,1.0,20,4pm EST,"volume_ma_length: 20, volume_threshold: 1.2, volume_exit_threshold: 0.8",30,Low,Combines price action with volume. Needs volume data. Filters weak breakouts.
29,Pairs Trading (TLT-ES),Pairs Trading,Ernie Chan,"Enter when z-score(TLT-ES spread) > 2. Exit when z-score returns to 0","Exit when z-score < 0.5",1.0,1.0,20,4pm EST,"pair_window: 20, zscore_entry: 2.0, zscore_exit: 0.5",30,High,Requires both ES and TLT data. Spread calculation and z-score. Cointegration testing recommended.
30,Kalman Filter Mean Reversion,Mean Reversion,Ernie Chan,"Enter when price deviates from Kalman predicted price. Exit at convergence","Exit when within 0.5 std dev of prediction",1.0,1.0,20,4pm EST,"kalman_delta: 0.0001, kalman_Ve: 0.001",50,Very High,Requires Kalman filter implementation. Advanced math. Adaptive to regime changes.
31,Ornstein-Uhlenbeck Mean Reversion,Mean Reversion,Ernie Chan,"Model price as OU process, enter when far from mean-reversion level. Exit at mean","Exit when price within 0.3 std dev of mean",1.0,1.0,20,4pm EST,"ou_lookback: 60, ou_entry_threshold: 1.5",90,Very High,Stochastic process modeling. Half-life calculation. Requires parameter estimation.
32,Regime Change Strategy,Regime Detection,Ernie Chan,"Detect regime changes using HMM or variance filters. Adjust strategy based on regime","Regime-dependent exits",1.0,1.0,20,4pm EST,"regime_lookback: 100, regime_method: variance",120,Very High,Hidden Markov Model or variance ratio tests. Switches between mean reversion and trend following.
33,Cointegration Arbitrage,Pairs Trading,Ernie Chan,"Find cointegrated pairs, enter when spread exceeds threshold. Exit at spread mean","Exit when spread returns to mean",1.0,1.0,20,4pm EST,"coint_window: 60, coint_threshold: 2.0",90,Very High,Requires cointegration testing (ADF/Johansen). Multi-instrument. Hedge ratio calculation.
34,High Frequency Mean Reversion,Mean Reversion,Ernie Chan,"Enter on 1-min or tick imbalances, quick mean reversion trades. Exit within minutes","Exit after 5 minutes or mean reversion",1.0,1.0,5,4pm EST,"hf_imbalance_threshold: 2.0, hf_hold_minutes: 5",10,High,Needs tick or 1-min data. Very short holding period. Sensitive to transaction costs.
35,Linear Regression Channel,Trend Following,Ernie Chan,"Fit linear regression to price, enter on breakout from channel. Exit on opposite signal","Exit when price crosses opposite channel",1.0,1.0,20,4pm EST,"lr_window: 20, lr_std_threshold: 2.0",30,Medium,Rolling linear regression. Channel = regression line ± std dev. Breakout strategy.
36,RSI(2) + 200 SMA Filter,Mean Reversion,Larry Connors,"Enter when RSI(2) < 5 AND price > SMA(200). Exit when RSI(2) > 70","Exit when RSI(2) > 70",1.0,1.0,20,4pm EST,"rsi_length: 2, rsi_oversold: 5, rsi_overbought: 70, sma_filter: 200",210,Low,Classic Connors setup. Long-term trend filter + short-term mean reversion. Very systematic.
37,Double 7s Strategy,Mean Reversion,Larry Connors,"Enter when 7-day price % rank < 5%. Exit when 7-day % rank > 95%","Exit when 7-day % rank > 95%",1.0,1.0,20,4pm EST,"percentile_window: 7, entry_pct: 5, exit_pct: 95",10,Low,Percentile rank over 7 days. Pure mean reversion on extremes. No indicators needed.
38,2-Period RSI + Moving Average,Mean Reversion,Larry Connors,"Enter RSI(2) < 10, close > MA(200), 2 consecutive down days. Exit RSI(2) > 65","Exit when RSI(2) > 65",1.0,1.0,20,4pm EST,"rsi_length: 2, rsi_oversold: 10, rsi_overbought: 65, ma_length: 200, consec_down_days: 2",210,Medium,Multiple filters: trend, momentum, and streak. More selective than simple RSI(2).
39,Cumulative RSI Strategy,Mean Reversion,Larry Connors,"Sum RSI(2) over 2 days. Enter when sum < 25. Exit when today's RSI(2) > 60","Exit when RSI(2) > 60",1.0,1.0,20,4pm EST,"rsi_length: 2, cumulative_days: 2, entry_sum: 25, exit_rsi: 60",10,Low,Adds up RSI over multiple days for more extreme signals. Still mean reversion focused.
40,Buy on 5 Bar Low Strategy,Mean Reversion,Botnet101,"Enter when close < lowest low of previous 5 bars, indicating potential oversold reversal","Exit when close > high[1] showing price strength",1.0,1.0,20,4pm EST,"lookback: 5",5,Simple,"Simple mean reversion on 5-bar lows. Works on any timeframe. High frequency of signals in volatile markets. Best for stocks/ETFs/futures."
41,3-Bar Low Strategy,Mean Reversion,Botnet101,"Enter when close < lowest low of previous 3 bars, with optional EMA filter","Exit when close > highest high of previous 7 bars",1.0,1.0,20,4pm EST,"lookback_entry: 3, lookback_exit: 7, ma_period: 20",7,Simple,"Faster signals than 5-bar low. Asymmetric entry/exit windows (3 bars in, 7 bars out). Works on any timeframe from intraday to daily."
42,Gap Down Reversal Strategy,Gap Reversal,Botnet101,"Enter when: 1) previous bar bearish, 2) current open < prior low (gap down), 3) current close > open (bullish reversal)","Exit when close > highest high of previous 7 bars",1.0,1.0,20,4pm EST,"exit_lookback: 7",2,Simple,"Capitalizes on gap down exhaustion. Requires true gap below prior low. Best on timeframes with gaps (daily, 1HR+). Works in high volatility."
43,Turn of the Month Strategy on Steroids,Seasonal/Calendar,Botnet101,"Enter when day of month >= threshold (default 25) AND close < close[1], exploiting turn-of-month effect","Exit when RSI > overbought threshold (default 65)",1.0,1.0,20,4pm EST,"day_threshold: 25, rsi_period: 14, rsi_overbought: 65",200,Simple,"Exploits calendar anomaly - stocks tend to rise end of month. Mean reversion entry with RSI exit. Requires daily bars for calendar tracking."
44,Bollinger Bands Reversal + IBS Strategy,Mean Reversion,Botnet101,"Enter when close < lower Bollinger Band (2σ) AND IBS indicates oversold conditions","Exit when IBS > 0.8 indicating overbought",1.0,1.0,20,4pm EST,"bb_period: 20, bb_mult: 2.0, ibs_buy_threshold: 0.2, ibs_sell_threshold: 0.8",20,Medium,"Combines volatility (BB) with intrabar strength (IBS) for double confirmation. Exits on IBS overbought. Best in mean-reverting markets. Timeframe agnostic."
45,Internal Bar Strength (IBS) Strategy,Mean Reversion,Botnet101,"Enter when IBS < threshold (default 0.2), meaning close near bar's low","Exit when IBS > threshold (default 0.8)",1.0,1.0,20,4pm EST,"ibs_buy_threshold: 0.2, ibs_sell_threshold: 0.8",1,Simple,"Pure IBS mean reversion. IBS = (close-low)/(high-low). Simple calculation, no warmup needed. Best in ranging markets. Works on any timeframe."
46,4 Bar Momentum Reversal Strategy,Mean Reversion,Botnet101,"Enter when close < reference close (N bars ago) for at least N consecutive bars, indicating sustained bearish move","Exit when close > high[1] confirming reversal",1.0,1.0,20,4pm EST,"buy_threshold: 4, lookback: 4",4,Medium,"Momentum exhaustion strategy. Requires sustained selling before entry. Reference close lookback customizable. Works on any timeframe from intraday to daily."
47,Consecutive Bearish Candle Strategy,Mean Reversion,Botnet101,"Enter after N consecutive bars where close[i] < close[i-1] (default 3), identifying momentum exhaustion","Exit when close > high[1]",1.0,1.0,20,4pm EST,"consecutive_lookback: 3",3,Simple,"Simple consecutive down bar counter. More flexible than 4-bar momentum. Timeframe agnostic. Best in volatile markets with frequent swings."
48,Consecutive Bars Above/Below EMA Buy the Dip Strategy,Mean Reversion,Botnet101,"Enter when close remains below selected MA (SMA or EMA) for N consecutive bars (default 3), identifying dip","Exit when close > high[1]",1.0,1.0,20,4pm EST,"consecutive_bars_threshold: 3, ma_type: SMA, ma_length: 5",5,Simple,"MA-based dip buying. Customizable MA type and length. Counts consecutive bars below MA. Works on any timeframe when price oscillates around short-term MA."
49,Average High-Low Range + IBS Reversal Strategy,Mean Reversion,Botnet101,"Enter when: 1) close below (upper - 2.5×avg_HL_range) for N bars (default 2), 2) IBS < threshold (default 0.2)","Exit when close > high[1]",1.0,1.0,20,4pm EST,"length: 20, bars_below_threshold: 2, ibs_buy_threshold: 0.2",20,Medium,"Combines volatility measure (avg high-low range) with IBS. Avg_HL = SMA(high-low, 20). Identifies extreme deviations. Works on any timeframe."
50,3 Down 3 Up Strategy,Mean Reversion,Botnet101,"Enter after N consecutive down closes (default 3), with optional 200 EMA filter","Exit after N consecutive up closes (default 3)",1.0,1.0,20,4pm EST,"consecutive_down_entry: 3, consecutive_up_exit: 3, ema_period: 200",3,Simple,"Symmetric entry/exit logic. Simple consecutive close counter. Optional trend filter improves reliability. Works on any timeframe. Best in oscillating/volatile markets. NOT optimized."
51,Consecutive Close<Low[1] Mean Reversion,Mean Reversion,Botnet101,"Enter when consecutive bars of close < low[1] reaches threshold (default 3), indicating overextended bearish move","Exit when close > high[1]",1.0,1.0,20,4pm EST,"threshold: 3, ema_period: 200",3,Medium,"Contrarian strategy for overextended bearish moves. Counts aggressive down bars where each close breaks prior low. Works on any timeframe from intraday to daily."
52,ATR Buy the Dip Mean Reversion,Mean Reversion,Botnet101,"Enter when close < smoothed ATR lower trigger (close - ATR×multiplier smoothed), indicating oversold","Exit when close > high[1]",1.0,1.0,20,4pm EST,"atr_period: 20, atr_multiplier: 1.0, smoothing_period: 10",20,Medium,"ATR-based oversold detection. Dynamic lower threshold = SMA(close - ATR×mult, smooth_period). Enters on extreme dips below volatility-adjusted level. Timeframe agnostic."
53,Internal Bar Strength (IBS) Extreme Oversold,Mean Reversion,Botnet101,"Enter when IBS <= 0.1 (close near bar's low), indicating extreme oversold","Exit when IBS >= 0.7",1.0,1.0,20,4pm EST,"ibs_entry_threshold: 0.1, ibs_exit_threshold: 0.7",1,Simple,"More extreme version of IBS strategy #46. Uses lower threshold (0.1 vs 0.2) for fewer but higher-conviction signals. Works on any timeframe for stocks/ETFs/futures."
54,10 Bar High Breakout with Low IBS,Breakout,Botnet101,"Enter when: 1) high > highest(high, 10) breaking out to new high, 2) low IBS (default <= 0.15) for pullback confirmation","Exit when close > high[1]",1.0,1.0,20,4pm EST,"lookback_period: 10, ibs_threshold: 0.15",10,Medium,"Breakout strategy with pullback confirmation. New 10-bar high with low IBS suggests consolidation before breakout. Combines momentum with mean reversion filter. Works on any timeframe."
